stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10599225,,"opposite Planet Fitness","",46.712662,-117.181208,,,0,,,0,,
3052090,,"Transfer Station","",46.732066,-117.181877,,,0,,,0,,
3052091,,"State and Harrison","",46.736386,-117.17826,,,0,,,0,,
3052093,,"Harrison and Fisk","",46.736569,-117.184251,,,0,,,0,,
3052095,,"Clifford and Darrow","",46.739561,-117.185603,,,0,,,0,,
3052096,,"Darrow and Orion","",46.739773,-117.183234,,,0,,,0,,
3052097,,"Jefferson Elementary","",46.739252,-117.18143,,,0,,,0,,
3052099,,"State and Timothy","",46.740483,-117.178262,,,0,,,0,,
3052100,,"Janet and Hall","",46.742298,-117.177481,,,0,,,0,,
3052101,,"Hall and Orion","",46.743912,-117.179125,,,0,,,0,,
3052102,,"Aquatic Center","",46.744881,-117.180358,,,0,,,0,,
3052104,,"Lamont and Robert","",46.748911,-117.176817,,,0,,,0,,
3052105,,"Dillon and Terre View, east bound","",46.750406,-117.174009,,,0,,,0,,
3052112,,"Steptoe Village","",46.741133,-117.164659,,,0,,,0,,
3052113,,"Schweitzer Drive","",46.746222,-117.168289,,,0,,,0,,
3052114,,"Terre View Bridge","",46.750044,-117.170224,,,0,,,0,,
3052115,,"Grand and Terre View","",46.750059,-117.171959,,,0,,,0,,
3052116,,"Grand and Larry","",46.747851,-117.172644,,,0,,,0,,
3052117,,"Grand and Turner","",46.742192,-117.171293,,,0,,,0,,
3052119,,"Taco Bell","",46.738948,-117.170747,,,0,,,0,,
3052120,,"Harvey/Duncan","",46.736405,-117.163101,,,0,,,0,,
3052121,,"Streit Perham","",46.735681,-117.159996,,,0,,,0,,
3052123,,"Gesa Field","",46.731277,-117.159058,,,0,,,0,,
3052124,,"Troy Lane","",46.728639,-117.162092,,,0,,,0,,
3052125,,"Spokane and Washington","",46.72768,-117.168547,,,0,,,0,,
3052127,,"Honors Hall","",46.731529,-117.168395,,,0,,,0,,
3052128,,"The Chinook","",46.732507,-117.165812,,,0,,,0,,
3052130,,"Maiden and Spaulding, south bound","",46.731814,-117.175833,,,0,,,0,,
3052132,,"Neill Library","",46.730423,-117.180172,,,0,,,0,,
3052276,,"Porch Light Pizza","",46.730404,-117.179459,,,0,,,0,,
3052277,,"Whitman and Maple","",46.731303,-117.17727,,,0,,,0,,
3052278,,"Maiden and Spaulding, North bound","",46.732039,-117.175077,,,0,,,0,,
3052279,,"Campus and Opal","",46.733524,-117.172504,,,0,,,0,,
3052281,,"The Gyms","",46.73348,-117.162143,,,0,,,0,,
3052282,,"Pine Street Mall - south bound","",46.729682,-117.179009,,,0,,,0,,
3052770,,"Golden Hills","",46.733202,-117.208703,,,0,,,0,,
