trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
APTA-T1,3139,1,Loop,"",0,449519,25000,
APTA-T1-13,3139,13,Loop,"",0,450293,25000,
APTA-T1-7,3139,7,Loop,"",0,449542,25000,
APTA-T10,3139,1,Loop,"",0,449519,25000,
APTA-T10-13,3139,13,Loop,"",0,450293,25000,
APTA-T10-7,3139,7,Loop,"",0,449542,25000,
APTA-T11,3139,1,Loop,"",0,449519,25000,
APTA-T11-13,3139,13,Loop,"",0,450293,25000,
APTA-T11-7,3139,7,Loop,"",0,449542,25000,
APTA-T12,3139,1,Loop,"",0,449519,25000,
APTA-T12-13,3139,13,Loop,"",0,450293,25000,
APTA-T12-7,3139,7,Loop,"",0,449542,25000,
APTA-T13,3139,1,Loop,"",0,449519,25000,
APTA-T13-13,3139,13,Loop,"",0,450293,25000,
APTA-T13-7,3139,7,Loop,"",0,449542,25000,
APTA-T14,3139,1,Loop,"",0,449519,25000,
APTA-T14-13,3139,13,Loop,"",0,450293,25000,
APTA-T14-7,3139,7,Loop,"",0,449542,25000,
APTA-T15,3139,1,Loop,"",0,449519,25000,
APTA-T15-13,3139,13,Loop,"",0,450293,25000,
APTA-T15-7,3139,7,Loop,"",0,449542,25000,
APTA-T16,3139,1,Loop,"",0,449519,25000,
APTA-T16-13,3139,13,Loop,"",0,450293,25000,
APTA-T16-7,3139,7,Loop,"",0,449542,25000,
APTA-T17,3139,1,Loop,"",0,449519,25000,
APTA-T17-13,3139,13,Loop,"",0,450293,25000,
APTA-T17-7,3139,7,Loop,"",0,449542,25000,
APTA-T18,3139,1,Loop,"",0,449519,25000,
APTA-T18-13,3139,13,Loop,"",0,450293,25000,
APTA-T18-7,3139,7,Loop,"",0,449542,25000,
APTA-T19,3139,1,Loop,"",0,449519,25000,
APTA-T19-13,3139,13,Loop,"",0,450293,25000,
APTA-T19-7,3139,7,Loop,"",0,449542,25000,
APTA-T2,3139,1,Loop,"",0,449519,25000,
APTA-T2-13,3139,13,Loop,"",0,450293,25000,
APTA-T2-7,3139,7,Loop,"",0,449542,25000,
APTA-T20,3139,1,Loop,"",0,449519,25000,
APTA-T20-13,3139,13,Loop,"",0,450293,25000,
APTA-T20-7,3139,7,Loop,"",0,449542,25000,
APTA-T21,3139,1,Loop,"",0,449519,25000,
APTA-T21-13,3139,13,Loop,"",0,450293,25000,
APTA-T21-7,3139,7,Loop,"",0,449542,25000,
APTA-T22,3139,1,Loop,"",0,449519,25000,
APTA-T22-13,3139,13,Loop,"",0,450293,25000,
APTA-T22-7,3139,7,Loop,"",0,449542,25000,
APTA-T23,3139,1,Loop,"",0,449519,25000,
APTA-T23-13,3139,13,Loop,"",0,450293,25000,
APTA-T23-7,3139,7,Loop,"",0,449542,25000,
APTA-T24,3139,1,Loop,"",0,449519,25000,
APTA-T24-13,3139,13,Loop,"",0,450293,25000,
APTA-T24-7,3139,7,Loop,"",0,449542,25000,
APTA-T25,3139,1,Loop,"",0,449519,25000,
APTA-T25-13,3139,13,Loop,"",0,450293,25000,
APTA-T25-7,3139,7,Loop,"",0,449542,25000,
APTA-T26,3139,1,Loop,"",0,449519,25000,
APTA-T26-13,3139,13,Loop,"",0,450293,25000,
APTA-T26-7,3139,7,Loop,"",0,449542,25000,
APTA-T27,3139,1,Loop,"",0,449519,25000,
APTA-T27-13,3139,13,Loop,"",0,450293,25000,
APTA-T27-7,3139,7,Loop,"",0,449542,25000,
APTA-T28,3139,1,Loop,"",0,449519,25000,
APTA-T28-13,3139,13,Loop,"",0,450293,25000,
APTA-T28-7,3139,7,Loop,"",0,449542,25000,
APTA-T29,3139,1,Loop,"",0,449519,25000,
APTA-T29-13,3139,13,Loop,"",0,450293,25000,
APTA-T29-7,3139,7,Loop,"",0,449542,25000,
APTA-T3,3139,1,Loop,"",0,449519,25000,
APTA-T3-13,3139,13,Loop,"",0,450293,25000,
APTA-T3-7,3139,7,Loop,"",0,449542,25000,
APTA-T30,3139,1,Loop,"",0,449519,25000,
APTA-T30-13,3139,13,Loop,"",0,450293,25000,
APTA-T30-7,3139,7,Loop,"",0,449542,25000,
APTA-T31,3139,1,Loop,"",0,449519,25000,
APTA-T31-13,3139,13,Loop,"",0,450293,25000,
APTA-T31-7,3139,7,Loop,"",0,449542,25000,
APTA-T32,3139,1,Loop,"",0,449519,25000,
APTA-T32-13,3139,13,Loop,"",0,450293,25000,
APTA-T32-7,3139,7,Loop,"",0,449542,25000,
APTA-T33,3139,1,Loop,"",0,449519,25000,
APTA-T33-13,3139,13,Loop,"",0,450293,25000,
APTA-T33-7,3139,7,Loop,"",0,449542,25000,
APTA-T34,3139,1,Loop,"",0,449519,25000,
APTA-T34-13,3139,13,Loop,"",0,450293,25000,
APTA-T34-7,3139,7,Loop,"",0,449542,25000,
APTA-T4,3139,1,Loop,"",0,449519,25000,
APTA-T4-13,3139,13,Loop,"",0,450293,25000,
APTA-T4-7,3139,7,Loop,"",0,449542,25000,
APTA-T5,3139,1,Loop,"",0,449519,25000,
APTA-T5-13,3139,13,Loop,"",0,450293,25000,
APTA-T5-7,3139,7,Loop,"",0,449542,25000,
APTA-T6,3139,1,Loop,"",0,449519,25000,
APTA-T6-13,3139,13,Loop,"",0,450293,25000,
APTA-T6-7,3139,7,Loop,"",0,449542,25000,
APTA-T7,3139,1,Loop,"",0,449519,25000,
APTA-T7-13,3139,13,Loop,"",0,450293,25000,
APTA-T7-7,3139,7,Loop,"",0,449542,25000,
APTA-T8,3139,1,Loop,"",0,449519,25000,
APTA-T8-13,3139,13,Loop,"",0,450293,25000,
APTA-T8-7,3139,7,Loop,"",0,449542,25000,
APTA-T9,3139,1,Loop,"",0,449519,25000,
APTA-T9-13,3139,13,Loop,"",0,450293,25000,
